Meses , Periodo ,Incidencia,Brecha,severidad
Marzo ,2014,24.6,8.6,4.3
Marzo ,2015,24.1,8.9,4.7
Marzo ,2016,25.4,9.9,5.5
Marzo ,2017,24.4,9.1,4.8
Marzo ,    2007 (2),-,-,-
Marzo ,2008,35,14.2,8
Marzo ,   2009 (2),-,-,-
Marzo ,2010,33,13.7,7.8
Junio,2011,29.6,11.4,6.2
Junio,2012,25.3,9.4,4.9
Junio,2013,23.7,8.4,4.4
Junio,2014,24.5,8.5,4.2
Junio,2015,22,7.7,3.9
Junio,2016,23.7,8.6,4.6
Junio,2017,23.1,8.3,4.4
Junio,2014,24.8,8.7,4.4
Septiembre ,2015,22.4,7.7,3.9
Septiembre ,2016,22.6,8.1,4.2
Septiembre ,2007,36.7,15.3,8.7
Septiembre ,2008,35.1,14.5,8.1
Diciembre,2009,36,14.5,8
Diciembre,2010,32.8,12.7,6.8
Diciembre,2011,28.6,10.8,5.7
Diciembre,2012,27.3,10.5,5.8
Diciembre,2013,25.6,9,4.5
Diciembre,2014,22.5,7.9,4
Diciembre,2015,23.3,8.5,4.5
Diciembre,2016,22.9,8.6,4.7
